word,freq
'agree'a,7
'agreed',28
'agreeing,7
'aground',7
'ah,1530
'ah',460
'aha,42
'aha',70
'ahalala,7
'ahcrrorexs,7
'ahoy',7
'ahr,21
'ai,48
'ai',21
'aiaa,7
'aian'',7
'aidl,7
'aids',14
'aie,7
'aif,7
'aii,7
'aiiiaax,7
'ail,7
'ailie',7
'ain't,447
'ain't',7
'ain'ts',7
'air's,14
'airbrush,7
'airbut,7
'aired,14
'airopiat,7
'aiui,7
'aj,7
'ajlottant,7
'ajohnson,7
'akivasha',7
'al,28
'alack,21
'alarming',7
'alas,84
'alas',42
'albanian,7
'albatross',7
'albeit,14
'albert,14
'alcestis',35
'alcohol',7
'aldermann,7
'alexander,21
'alfpenny,6
'alfred,14
'algebra',14
'ali,14
'alia,7
'alias',7
'alice,14
'alicia,7
'alicia',7
'aliens',7
'alison,7
'alison',7
'alive,14
'all,1308
'all',70
'all's,14
'allah,7
'allah',7
'allan,7
'alle,28
'allers,7
'allie',14
'allons',7
'allow,28
'alls,28
'almanac,7
'almighty,14
'almiry,7
'almost,49
'almost',7
'alone,14
'alone',21
'along,35
'alonzo,7
'already,14
'alright,7
'also,42
'also',7
'alten,7
'alter',7
'altera,14
'alteram,7
'alteration,14
'alteration',91
'alterations',7
'altering',7
'alternating,7
'alternation,7
'alters,7
'although,28
'always,91
'always',28
'alza,7
'amadame,7
'amalgamation,7
'amalia',7
'amalric,35
'amateur,7
'amazed,7
'ambition,7
'ambition',14
'ambitus',14
'amboyna,14
'amboyna',7
'ambrosius,7
'amelia,7
'amen,21
'amen',28
'america',21
'america's,7
'american,21
'american',14
'amiability',7
'amico',7
'amiens',7
'amile,7
'amiss',7
'amitie,7
'amlet,14
'ammersmith,14
'ammond,21
'ammond',7
'amoetas,7
'amon,7
'among,56
'amoosing',7
'amor,7
'amorolio',7
'amoroso',7
'amos,14
'amounted,7
'amper,7
'amphitryon',14
'ample',7
'amplitude,7
'amra,14
'amuck',7
'amusement',6
'amusing',7
'amy,7
'an,602
'an',189
'an't,7
'analysis',28
'anarchy,7
'anaroraovff,7
'anastasie',14
'anatomy,7
'anchor',7
'ancient,20
'and,8837
'and',35
'anded,7
'andier,7
'andingh,7
'andle,20
'andles,7
'andlin',7
'andmr,7
'andra,14
'andrea,7
'andrew's,7
'andrews',7
'andrey,7
'androclus,7
'ands,62
'ands',7
'andsf,7
'andsome,14
'andthenf,7
'andwhenshelooked,7
'andy,21
'andy',21
'ang,33
'angcore,7
'anged,7
'angel,35
'angel',7
'angelica,7
'angeline',7
'angelo,7
'angels,7
'angin',48
'anging,7
'anglican,7
'anglicize,7
'angry,7
'angry',7
'angs,7
'anima',7
'animal,14
'animal',7
'animals,7
'aninml'',7
'ankin's,7
'ankins,84
'ankins',21
'ankinson,14
'anky,14
'anna,35
'anna',14
'annay,7
'anne,28
'anne',7
'annie,7
'anniversary',7
'annus,14
'ano,7
